  Time                  V(Vbuck)             
  0.000000000000e+00  3.821977862105e-04  
  5.000000000000e-11  3.821977855176e-04  
  1.000000000000e-10  3.821977836116e-04  
  2.000007614493e-10  3.821977815307e-04  
  4.000022843480e-10  3.821977796974e-04  
  8.000053301454e-10  3.821977736483e-04  
  1.000000000000e-09  3.821977710362e-04  
  1.100000000000e-09  3.821977665764e-04  
  1.471970236301e-09  3.821977581299e-04  
  1.819958916306e-09  3.821977453136e-04  
  1.900000000000e-09  3.821977452154e-04  
  2.000000000000e-09  3.821977456148e-04  
  2.700000000000e-09  3.821977362787e-04  
  2.800000000000e-09  3.821977338693e-04  
  2.818221908249e-09  3.821977338713e-04  
  2.854665724747e-09  3.821977336244e-04  
  2.911703411676e-09  3.821977324623e-04  
  3.006430559047e-09  3.821977289253e-04  
  3.107013397105e-09  3.821977257408e-04  
  3.264988988824e-09  3.821977203588e-04  
  3.462475940771e-09  3.821977152739e-04  
  3.857449844666e-09  3.821977136156e-04  
  4.647397652455e-09  3.821976947574e-04  
  5.000003000000e-09  3.821976957622e-04  
  5.098108520010e-09  3.821976955113e-04  
  5.294314903417e-09  3.821976902736e-04  
  5.686727670231e-09  3.821976843057e-04  
  6.471553203860e-09  3.821976864800e-04  
  7.255261150399e-09  3.821976782789e-04  
  7.639338580170e-09  3.821976712469e-04  
  8.407493439713e-09  3.821976544939e-04  
  9.943803158799e-09  3.821976397993e-04  
  1.301642259697e-08  3.821976254613e-04  
  1.916166147331e-08  3.821976519594e-04  
  3.145213922600e-08  3.821974904417e-04  
  5.603309473137e-08  3.821974350753e-04  
  1.000000030000e-07  3.821970228834e-04  
  1.005000027000e-07  3.821970247629e-04  
  1.015000568806e-07  3.821970055520e-04  
  1.035001652419e-07  3.821969907009e-04  
  1.050000030000e-07  3.821969997172e-04  
  1.054000246722e-07  3.821969910753e-04  
  1.062000307638e-07  3.821969905194e-04  
  1.072000000000e-07  3.821969911946e-04  
  1.073000000000e-07  3.821969928663e-04  
  1.078000000000e-07  3.821969988328e-04  
  1.082000000000e-07  3.821970016046e-04  
  1.083000000000e-07  3.821970010832e-04  
  1.089000000000e-07  3.821970019667e-04  
  1.090000000000e-07  3.821970024886e-04  
  1.090598607585e-07  3.821970022732e-04  
  1.091420150511e-07  3.821970022866e-04  
  1.092276850864e-07  3.821970011100e-04  
  1.093990251571e-07  3.821970028100e-04  
  1.095563488230e-07  3.821970020637e-04  
  1.098709961548e-07  3.821970036786e-04  
  1.100000030000e-07  3.821970021143e-04  
  1.100494934816e-07  3.821970009568e-04  
  1.101484697882e-07  3.821970006454e-04  
  1.103464224015e-07  3.821970005549e-04  
  1.107423276279e-07  3.821970007142e-04  
  1.115341380809e-07  3.821970016052e-04  
  1.131177589868e-07  3.821970148769e-04  
  1.141763002251e-07  3.821970125251e-04  
  1.153920487140e-07  3.821970223566e-04  
  1.166620001767e-07  3.821970019772e-04  
  1.192019031022e-07  3.821969495643e-04  
  1.242817089532e-07  3.821969042476e-04  
  1.344413206551e-07  3.821968761747e-04  
  1.547605440591e-07  3.821969063855e-04  
  1.953989908669e-07  3.821968002943e-04  
  2.766758844827e-07  3.821964235809e-04  
  4.392296717141e-07  3.821969571539e-04  
  7.643372461770e-07  3.821988085035e-04  
  1.294294063804e-06  3.821992909355e-04  
  1.824250881431e-06  3.821969543037e-04  
  2.354207699058e-06  3.821983022104e-04  
  2.884164516685e-06  3.821990791395e-04  
  3.414121334312e-06  3.821987255178e-04  
  3.944078151939e-06  3.821987511850e-04  
  4.474034969566e-06  3.822002165109e-04  
  5.000000003000e-06  3.822009350503e-04  
  5.000500002700e-06  3.822009233658e-04  
  5.001000000000e-06  3.822009226904e-04  
  5.001100000000e-06  3.822009249418e-04  
  5.001125116606e-06  3.822009250419e-04  
  5.001175349817e-06  3.822009245108e-04  
  5.001275816240e-06  3.822009235736e-04  
  5.001476749085e-06  3.822009189498e-04  
  5.001878614776e-06  3.822009111912e-04  
  5.001900000000e-06  3.822009111254e-04  
  5.002000000000e-06  3.822009099927e-04  
  5.002473298132e-06  3.822009032455e-04  
  5.002700000000e-06  3.822009025470e-04  
  5.002800000000e-06  3.822009018905e-04  
  5.003014530155e-06  3.822008988851e-04  
  5.003033858009e-06  3.822008988392e-04  
  5.003072513716e-06  3.822008992063e-04  
  5.003149825132e-06  3.822008997341e-04  
  5.003304447962e-06  3.822009021197e-04  
  5.003461236118e-06  3.822009029394e-04  
  5.003774812428e-06  3.822009001086e-04  
  5.004244012742e-06  3.822008962902e-04  
  5.005000003000e-06  3.822008834164e-04  
  5.005093843063e-06  3.822008817980e-04  
  5.005281527844e-06  3.822008768081e-04  
  5.005656897408e-06  3.822008670239e-04  
  5.006407636536e-06  3.822008733086e-04  
  5.007561358941e-06  3.822008629087e-04  
  5.008295613659e-06  3.822008687655e-04  
  5.009301628304e-06  3.822008884991e-04  
  5.011313657594e-06  3.822008700982e-04  
  5.015337716175e-06  3.822008615625e-04  
  5.023385833335e-06  3.822008301399e-04  
  5.039482067657e-06  3.822009235188e-04  
  5.050000003000e-06  3.822009320532e-04  
  5.050200002700e-06  3.822009302306e-04  
  5.050600005746e-06  3.822009267355e-04  
  5.051400011837e-06  3.822009068984e-04  
  5.052000003000e-06  3.822008900040e-04  
  5.052160004218e-06  3.822008861290e-04  
  5.052480006655e-06  3.822008828451e-04  
  5.053120011528e-06  3.822008738824e-04  
  5.054000003000e-06  3.822008821158e-04  
  5.054128003975e-06  3.822008831540e-04  
  5.054384024550e-06  3.822008824413e-04  
  5.054896065702e-06  3.822008829845e-04  
  5.055920148005e-06  3.822008813777e-04  
  5.057968312611e-06  3.822008861665e-04  
  5.062064641823e-06  3.822009246991e-04  
  5.070257300248e-06  3.822009272928e-04  
  5.086642617096e-06  3.822008559607e-04  
  5.100000003000e-06  3.822008219933e-04  
  5.100500002700e-06  3.822008255863e-04  
  5.101500056881e-06  3.822008376678e-04  
  5.103500165242e-06  3.822008239740e-04  
  5.105000003000e-06  3.822008142491e-04  
  5.105400024672e-06  3.822008053273e-04  
  5.106200030764e-06  3.822007890599e-04  
  5.107200000000e-06  3.822007710247e-04  
  5.107300000000e-06  3.822007735352e-04  
  5.107800000000e-06  3.822007836626e-04  
  5.108200000000e-06  3.822007856438e-04  
  5.108300000000e-06  3.822007880283e-04  
  5.108900000000e-06  3.822007972701e-04  
  5.109000000000e-06  3.822007952102e-04  
  5.109060256571e-06  3.822007950810e-04  
  5.109137079041e-06  3.822007963878e-04  
  5.109225135591e-06  3.822007983579e-04  
  5.109377523247e-06  3.822008017000e-04  
  5.109535731670e-06  3.822008021842e-04  
  5.109843254384e-06  3.822008046025e-04  
  5.110000003000e-06  3.822008045688e-04  
  5.110048320015e-06  3.822008045782e-04  
  5.110144956374e-06  3.822008050971e-04  
  5.110338229091e-06  3.822008031342e-04  
  5.110724774526e-06  3.822008022587e-04  
  5.111497865395e-06  3.822007937829e-04  
  5.113044047133e-06  3.822007715508e-04  
  5.114124008791e-06  3.822007811748e-04  
  5.115293004886e-06  3.822007734612e-04  
  5.116535389201e-06  3.822007801703e-04  
  5.119020157830e-06  3.822007682967e-04  
  5.123989695088e-06  3.822006998731e-04  
  5.133928769605e-06  3.822006248464e-04  
  5.153806918637e-06  3.822005868272e-04  
  5.193563216702e-06  3.822006713090e-04  
  5.273075812833e-06  3.822002219438e-04  
  5.432101005093e-06  3.821998834421e-04  
  5.750151389615e-06  3.822006924841e-04  
  6.280108207242e-06  3.822013969331e-04  
  6.810065024869e-06  3.822017265633e-04  
  7.340021842496e-06  3.822026143956e-04  
  7.869978660123e-06  3.822030575836e-04  
  8.399935477750e-06  3.822050501241e-04  
  8.929892295377e-06  3.822053718140e-04  
  9.459849113004e-06  3.822058595200e-04  
  9.989805930631e-06  3.822058169714e-04  
  1.000000000300e-05  3.822058093756e-04  
  1.000050000270e-05  3.822058046810e-04  
  1.000100000000e-05  3.822058056825e-04  
  1.000110000000e-05  3.822058041470e-04  
  1.000112511661e-05  3.822058037482e-04  
  1.000117534982e-05  3.822058042305e-04  
  1.000127581624e-05  3.822058064660e-04  
  1.000147674909e-05  3.822058106544e-04  
  1.000187861478e-05  3.822058182948e-04  
  1.000190000000e-05  3.822058185655e-04  
  1.000200000000e-05  3.822058177676e-04  
  1.000270000000e-05  3.822058147243e-04  
  1.000280000000e-05  3.822058147987e-04  
  1.000281827138e-05  3.822058150649e-04  
  1.000285481415e-05  3.822058148776e-04  
  1.000290706135e-05  3.822058152610e-04  
  1.000301155574e-05  3.822058148146e-04  
  1.000312308162e-05  3.822058157456e-04  
  1.000328548100e-05  3.822058153227e-04  
  1.000349051166e-05  3.822058140119e-04  
  1.000390057299e-05  3.822058123415e-04  
  1.000472069565e-05  3.822058202283e-04  
  1.000500000300e-05  3.822058202083e-04  
  1.000509658115e-05  3.822058203973e-04  
  1.000528973745e-05  3.822058215868e-04  
  1.000567605006e-05  3.822058246146e-04  
  1.000644867526e-05  3.822058250109e-04  
  1.000727280261e-05  3.822058355729e-04  
  1.000788663732e-05  3.822058422096e-04  
  1.000875854151e-05  3.822058463856e-04  
  1.001050234990e-05  3.822058666838e-04  
  1.001390763776e-05  3.822058547045e-04  
  1.002071821349e-05  3.822058565123e-04  
  1.003433936494e-05  3.822059039775e-04  
  1.005000000300e-05  3.822058459084e-04  
  1.005020000270e-05  3.822058436665e-04  
  1.005060000575e-05  3.822058384331e-04  
  1.005140001184e-05  3.822058395051e-04  
  1.005200000300e-05  3.822058450962e-04  
  1.005216000422e-05  3.822058481922e-04  
  1.005248000665e-05  3.822058498410e-04  
  1.005312001153e-05  3.822058594268e-04  
  1.005400000300e-05  3.822058552614e-04  
  1.005412800397e-05  3.822058560564e-04  
  1.005438402455e-05  3.822058580674e-04  
  1.005489606570e-05  3.822058695022e-04  
  1.005592014800e-05  3.822058777541e-04  
  1.005796831261e-05  3.822059168116e-04  
  1.006206464182e-05  3.822059852340e-04  
  1.007025730025e-05  3.822060270120e-04  
  1.008664261710e-05  3.822061337645e-04  
  1.010000000300e-05  3.822060681320e-04  
  1.010050000270e-05  3.822060749635e-04  
  1.010150005688e-05  3.822060585830e-04  
  1.010350016524e-05  3.822060297381e-04  
  1.010500000300e-05  3.822060505513e-04  
  1.010540002467e-05  3.822060647618e-04  
  1.010620003076e-05  3.822060760782e-04  
  1.010720000000e-05  3.822060641649e-04  
  1.010730000000e-05  3.822060642516e-04  
  1.010780000000e-05  3.822060632387e-04  
  1.010820000000e-05  3.822060581765e-04  
  1.010830000000e-05  3.822060584491e-04  
  1.010890000000e-05  3.822060535710e-04  
  1.010900000000e-05  3.822060562950e-04  
  1.010905986076e-05  3.822060564085e-04  
  1.010913648532e-05  3.822060561467e-04  
  1.010922420427e-05  3.822060566504e-04  
  1.010939964216e-05  3.822060605721e-04  
  1.010955815326e-05  3.822060659765e-04  
  1.010982344050e-05  3.822060717192e-04  
  1.011000000300e-05  3.822060745984e-04  
  1.011005306045e-05  3.822060741589e-04  
  1.011015917301e-05  3.822060741999e-04  
  1.011037139814e-05  3.822060762167e-04  
  1.011079584841e-05  3.822060774071e-04  
  1.011164474893e-05  3.822060799911e-04  
  1.011334254999e-05  3.822061100808e-04  
  1.011398870159e-05  3.822061088256e-04  
  1.011528100480e-05  3.822061038563e-04  
  1.011648259718e-05  3.822060910366e-04  
  1.011888578195e-05  3.822060684929e-04  
  1.012369215150e-05  3.822060923579e-04  
  1.013330489058e-05  3.822061096853e-04  
  1.015253036875e-05  3.822062997780e-04  
  1.019098132510e-05  3.822062267994e-04  
  1.026788323779e-05  3.822067607964e-04  
  1.042168706317e-05  3.822072168952e-04  
  1.072929471392e-05  3.822084622929e-04  
  1.125925153155e-05  3.822093077807e-04  
  1.178920834918e-05  3.822096314329e-04  
  1.231916516680e-05  3.822113661469e-04  
  1.284912198443e-05  3.822138114746e-04  
  1.337907880206e-05  3.822130575974e-04  
  1.390903561968e-05  3.822138689486e-04  
  1.443899243731e-05  3.822161830851e-04  
  1.496894925494e-05  3.822184473813e-04  
  1.500000000300e-05  3.822185777526e-04  
  1.500050000270e-05  3.822185796624e-04  
  1.500100000000e-05  3.822185795452e-04  
  1.500110000000e-05  3.822185829902e-04  
  1.500112511661e-05  3.822185832994e-04  
  1.500117534982e-05  3.822185836572e-04  
  1.500127581624e-05  3.822185868102e-04  
  1.500147674909e-05  3.822185920160e-04  
  1.500187861478e-05  3.822186004376e-04  
  1.500190000000e-05  3.822186004715e-04  
  1.500200000000e-05  3.822186007616e-04  
  1.500270000000e-05  3.822186078998e-04  
  1.500280000000e-05  3.822186083606e-04  
  1.500330000000e-05  3.822186185945e-04  
  1.500334658941e-05  3.822186195434e-04  
  1.500343976824e-05  3.822186207017e-04  
  1.500362612588e-05  3.822186253819e-04  
  1.500387329889e-05  3.822186286415e-04  
  1.500426566509e-05  3.822186322826e-04  
  1.500487614704e-05  3.822186441078e-04  
  1.500500000300e-05  3.822186480899e-04  
  1.500509402933e-05  3.822186503981e-04  
