  Time                 , V(Vout)              , V(Vn)                , V(Vp)                
  0.000000000000e+00  ,-7.759652337028e-03  ,0.000000000000e+00  ,0.000000000000e+00  
  5.000000000000e-07  ,-7.759629748158e-03  ,2.000000000000e-06  ,2.500000000000e-06  
  1.000000000000e-06  ,-7.759635389040e-03  ,4.000000000000e-06  ,5.000000000000e-06  
  2.000022888184e-06  ,-7.759680388202e-03  ,8.000091552734e-06  ,1.000011444092e-05  
  4.000068664551e-06  ,-7.759820508379e-03  ,1.600027465820e-05  ,2.000034332275e-05  
  8.000160217285e-06  ,-7.760396232228e-03  ,3.200064086914e-05  ,4.000080108643e-05  
  1.600034332275e-05  ,-7.762727230209e-03  ,6.400137329102e-05  ,8.000171661377e-05  
  3.200070953369e-05  ,-7.772072627902e-03  ,1.280028381348e-04  ,1.600035476685e-04  
  6.400144195557e-05  ,-7.809233391163e-03  ,2.560057678223e-04  ,3.200072097778e-04  
  1.140014419556e-04  ,-7.915449145206e-03  ,4.560057678223e-04  ,5.700072097778e-04  
  1.640014419556e-04  ,-8.078688973692e-03  ,6.560057678223e-04  ,8.200072097778e-04  
  2.140014419556e-04  ,-8.296933065432e-03  ,8.560057678223e-04  ,1.070007209778e-03  
  2.640014419556e-04  ,-8.568225422311e-03  ,1.056005767822e-03  ,1.320007209778e-03  
  3.140014419556e-04  ,-8.890670442185e-03  ,1.256005767822e-03  ,1.570007209778e-03  
  3.640014419556e-04  ,-9.262137598823e-03  ,1.456005767822e-03  ,1.820007209778e-03  
  4.140014419556e-04  ,-9.681062124937e-03  ,1.656005767822e-03  ,2.070007209778e-03  
  4.640014419556e-04  ,-1.014619887060e-02  ,1.856005767822e-03  ,2.320007209778e-03  
  5.140014419556e-04  ,-1.065548142020e-02  ,2.056005767822e-03  ,2.570007209778e-03  
  5.640014419556e-04  ,-1.120729309194e-02  ,2.256005767822e-03  ,2.820007209778e-03  
  6.140014419556e-04  ,-1.180006784920e-02  ,2.456005767822e-03  ,3.070007209778e-03  
  6.640014419556e-04  ,-1.243228874688e-02  ,2.656005767822e-03  ,3.320007209778e-03  
  7.140014419556e-04  ,-1.310248639831e-02  ,2.856005767822e-03  ,3.570007209778e-03  
  7.640014419556e-04  ,-1.380923753505e-02  ,3.056005767822e-03  ,3.820007209778e-03  
  8.140014419556e-04  ,-1.455116354932e-02  ,3.256005767822e-03  ,4.070007209778e-03  
  8.640014419556e-04  ,-1.532692913992e-02  ,3.456005767822e-03  ,4.320007209778e-03  
  9.140014419556e-04  ,-1.613524095876e-02  ,3.656005767822e-03  ,4.570007209778e-03  
  9.640014419556e-04  ,-1.697484632660e-02  ,3.856005767822e-03  ,4.820007209778e-03  
  1.014001441956e-03  ,-1.784453196748e-02  ,4.056005767822e-03  ,5.070007209778e-03  
  1.064001441956e-03  ,-1.874312279411e-02  ,4.256005767822e-03  ,5.320007209778e-03  
  1.114001441956e-03  ,-1.966948072845e-02  ,4.456005767822e-03  ,5.570007209778e-03  
  1.164001441956e-03  ,-2.062250355739e-02  ,4.656005767822e-03  ,5.820007209778e-03  
  1.214001441956e-03  ,-2.160112383031e-02  ,4.856005767822e-03  ,6.070007209778e-03  
  1.264001441956e-03  ,-2.260430776991e-02  ,5.056005767822e-03  ,6.320007209778e-03  
  1.314001441956e-03  ,-2.363105424869e-02  ,5.256005767822e-03  ,6.570007209778e-03  
  1.364001441956e-03  ,-2.468039376816e-02  ,5.456005767822e-03  ,6.820007209778e-03  
  1.414001441956e-03  ,-2.575138748839e-02  ,5.656005767822e-03  ,7.070007209778e-03  
  1.464001441956e-03  ,-2.684312627204e-02  ,5.856005767822e-03  ,7.320007209778e-03  
  1.514001441956e-03  ,-2.795472977687e-02  ,6.056005767822e-03  ,7.570007209778e-03  
  1.564001441956e-03  ,-2.908534555318e-02  ,6.256005767822e-03  ,7.820007209778e-03  
  1.614001441956e-03  ,-3.023414819310e-02  ,6.456005767822e-03  ,8.070007209778e-03  
  1.664001441956e-03  ,-3.140033848625e-02  ,6.656005767822e-03  ,8.320007209778e-03  
  1.714001441956e-03  ,-3.258314261374e-02  ,6.856005767822e-03  ,8.570007209778e-03  
  1.764001441956e-03  ,-3.378181136084e-02  ,7.056005767822e-03  ,8.820007209778e-03  
  1.814001441956e-03  ,-3.499561935515e-02  ,7.256005767822e-03  ,9.070007209778e-03  
  1.864001441956e-03  ,-3.622386433421e-02  ,7.456005767822e-03  ,9.320007209778e-03  
  1.914001441956e-03  ,-3.746586642391e-02  ,7.656005767822e-03  ,9.570007209778e-03  
  1.964001441956e-03  ,-3.872096745321e-02  ,7.856005767822e-03  ,9.820007209778e-03  
