  Time                 , (V(Vout))@1          , (V(Vout))@2          , (V(Vout))@3          , (V(Vout))@4          , (V(Vout))@5          , (V(Vout))@6          , (V(Vout))@7          , (V(Vout))@8          , (V(Vout))@9          , (V(Vout))@10         , (V(Vout))@11         , (V(Vn))@1            , (V(Vn))@2            , (V(Vn))@3            , (V(Vn))@4            , (V(Vn))@5            , (V(Vn))@6            , (V(Vn))@7            , (V(Vn))@8            , (V(Vn))@9            , (V(Vn))@10           , (V(Vn))@11           , (V(Vp))@1            , (V(Vp))@2            , (V(Vp))@3            , (V(Vp))@4            , (V(Vp))@5            , (V(Vp))@6            , (V(Vp))@7            , (V(Vp))@8            , (V(Vp))@9            , (V(Vp))@10           , (V(Vp))@11           
  0.000000000000e+00  ,-7.759652337028e-03  ,-7.838227206174e-03  ,-7.918405560056e-03  ,-8.000236988338e-03  ,-8.083773146854e-03  ,-8.169067866294e-03  ,-8.256177267851e-03  ,-8.345159886363e-03  ,-8.436076801616e-03  ,-8.528991778086e-03  ,-8.623971414023e-03  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  
  5.000000000000e-07  ,-7.759629748158e-03  ,-7.838204391449e-03  ,-7.918382513512e-03  ,-8.000213710883e-03  ,-8.083749635119e-03  ,-8.169044101479e-03  ,-8.256153260312e-03  ,-8.345135623536e-03  ,-8.436052285150e-03  ,-8.528967001468e-03  ,-8.623946362649e-03  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  
  1.000000000000e-06  ,-7.759635389040e-03  ,-7.838210088326e-03  ,-7.918388268421e-03  ,-8.000219521124e-03  ,-8.083755500841e-03  ,-8.169050033264e-03  ,-8.256159248827e-03  ,-8.345141674974e-03  ,-8.436058395954e-03  ,-8.528973173553e-03  ,-8.623952603338e-03  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  
  2.000022888184e-06  ,-7.759680388202e-03  ,-7.838255547259e-03  ,-7.918434193545e-03  ,-8.000265918298e-03  ,-8.083802383897e-03  ,-8.169097416273e-03  ,-8.256207137565e-03  ,-8.345190081236e-03  ,-8.436107325330e-03  ,-8.529022637963e-03  ,-8.624002620972e-03  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  
  4.000068664551e-06  ,-7.759820508379e-03  ,-7.838397091352e-03  ,-7.918577194598e-03  ,-8.000410409964e-03  ,-8.083948391464e-03  ,-8.169244969064e-03  ,-8.256356271554e-03  ,-8.345340830394e-03  ,-8.436259730564e-03  ,-8.529176735008e-03  ,-8.624158440588e-03  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  
  8.000160217285e-06  ,-7.760396232228e-03  ,-7.838978693426e-03  ,-7.919164792310e-03  ,-8.001004124797e-03  ,-8.084548349149e-03  ,-8.169851310303e-03  ,-8.256969122973e-03  ,-8.345960336091e-03  ,-8.436886026717e-03  ,-8.529809971021e-03  ,-8.624798780711e-03  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  
  1.600034332275e-05  ,-7.762727230209e-03  ,-7.841333495090e-03  ,-7.921543882613e-03  ,-8.003408007841e-03  ,-8.086977540262e-03  ,-8.172306332638e-03  ,-8.259450532890e-03  ,-8.348468694497e-03  ,-8.439421930285e-03  ,-8.532374021858e-03  ,-8.627391591072e-03  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  
  3.200070953369e-05  ,-7.772072627902e-03  ,-7.850774370362e-03  ,-7.931082184746e-03  ,-8.013045734389e-03  ,-8.096716762988e-03  ,-8.182149192692e-03  ,-8.269399226338e-03  ,-8.358525498734e-03  ,-8.449589179825e-03  ,-8.542654143420e-03  ,-8.637787101029e-03  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  
  6.400144195557e-05  ,-7.809233391163e-03  ,-7.888314894116e-03  ,-7.969010205511e-03  ,-8.051369241515e-03  ,-8.135443984355e-03  ,-8.221288607370e-03  ,-8.308959602826e-03  ,-8.398515870721e-03  ,-8.490018895774e-03  ,-8.583532847243e-03  ,-8.679124743228e-03  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  
  1.140014419556e-04  ,-7.915449145206e-03  ,-7.995616396896e-03  ,-8.077419595040e-03  ,-8.160909327714e-03  ,-8.246138297451e-03  ,-8.333161429606e-03  ,-8.422035972413e-03  ,-8.512821650780e-03  ,-8.605580768001e-03  ,-8.700378384979e-03  ,-8.797282453019e-03  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  
