  Time                 , V(Vout)              , V(Vn)                , V(Vp)                
  0.000000000000e+00  ,-7.759652337028e-03  ,0.000000000000e+00  ,0.000000000000e+00  
  5.000000000000e-07  ,-7.758944268237e-03  ,6.283185203825e-05  ,1.256637061229e-05  
  1.000000000000e-06  ,-7.759124738381e-03  ,1.256636978753e-04  ,2.513274121218e-05  
  2.000022888184e-06  ,-7.760553946076e-03  ,2.513302223522e-04  ,5.026605756793e-05  
  4.000068664551e-06  ,-7.765003253598e-03  ,5.026629240154e-04  ,1.005326895849e-04  
  8.000160217285e-06  ,-7.783286935682e-03  ,1.005325549007e-03  ,2.010659480620e-04  
  1.600034332275e-05  ,-7.857330819542e-03  ,2.010628572376e-03  ,4.021324205628e-04  
  3.200070953369e-05  ,-8.154320391286e-03  ,4.021056809703e-03  ,8.042650099358e-04  
  6.400144195557e-05  ,-9.336229934792e-03  ,8.040490927583e-03  ,1.608527343653e-03  
  1.140014419556e-04  ,-1.271825733127e-02  ,1.431359646912e-02  ,2.865144239683e-03  
  1.640014419556e-04  ,-1.792118808458e-02  ,2.057257621904e-02  ,4.121732857896e-03  
  2.140014419556e-04  ,-2.488225344800e-02  ,2.681125331999e-02  ,5.378280796269e-03  
  2.640014419556e-04  ,-3.353873641130e-02  ,3.302347095088e-02  ,6.634775653183e-03  
  3.140014419556e-04  ,-4.382795063844e-02  ,3.920309840291e-02  ,7.891205027539e-03  
  3.640014419556e-04  ,-5.568727410718e-02  ,4.534403712987e-02  ,9.147556518888e-03  
  4.140014419556e-04  ,-6.905413331487e-02  ,5.144022676662e-02  ,1.040381772755e-02  
  4.640014419556e-04  ,-8.386603816975e-02  ,5.748565111002e-02  ,1.165997625472e-02  
  5.140014419556e-04  ,-1.000605711880e-01  ,6.347434405609e-02  ,1.291601970264e-02  
  5.640014419556e-04  ,-1.175754234326e-01  ,6.940039548794e-02  ,1.417193567466e-02  
  6.140014419556e-04  ,-1.363483884076e-01  ,7.525795710824e-02  ,1.542771177540e-02  
  6.640014419556e-04  ,-1.563173988506e-01  ,8.104124821089e-02  ,1.668333561085e-02  
  7.140014419556e-04  ,-1.774205250541e-01  ,8.674456138578e-02  ,1.793879478851e-02  
  7.640014419556e-04  ,-1.995960122896e-01  ,9.236226815137e-02  ,1.919407691751e-02  
  8.140014419556e-04  ,-2.227822832784e-01  ,9.788882450934e-02  ,2.044916960872e-02  
  8.640014419556e-04  ,-2.469179910047e-01  ,1.033187764158e-01  ,2.170406047488e-02  
  9.140014419556e-04  ,-2.719419406979e-01  ,1.086467651637e-01  ,2.295873713073e-02  
  9.640014419556e-04  ,-2.977933255280e-01  ,1.138675326715e-01  ,2.421318719311e-02  
  1.014001441956e-03  ,-3.244114777001e-01  ,1.189759266720e-01  ,2.546739828110e-02  
  1.064001441956e-03  ,-3.517361246255e-01  ,1.239669057969e-01  ,2.672135801616e-02  
  1.114001441956e-03  ,-3.797072934660e-01  ,1.288355445526e-01  ,2.797505402220e-02  
  1.164001441956e-03  ,-4.082653175885e-01  ,1.335770381803e-01  ,2.922847392576e-02  
  1.214001441956e-03  ,-4.373510025955e-01  ,1.381867073982e-01  ,3.048160535607e-02  
  1.264001441956e-03  ,-4.669054758211e-01  ,1.426600030194e-01  ,3.173443594525e-02  
  1.314001441956e-03  ,-4.968703464978e-01  ,1.469925104412e-01  ,3.298695332835e-02  
  1.364001441956e-03  ,-5.271876798826e-01  ,1.511799540019e-01  ,3.423914514355e-02  
  1.414001441956e-03  ,-5.578000340681e-01  ,1.552182012001e-01  ,3.549099903220e-02  
  1.464001441956e-03  ,-5.886504919378e-01  ,1.591032667734e-01  ,3.674250263902e-02  
  1.514001441956e-03  ,-6.196826893189e-01  ,1.628313166312e-01  ,3.799364361218e-02  
  1.564001441956e-03  ,-6.508408460779e-01  ,1.663986716383e-01  ,3.924440960341e-02  
  1.614001441956e-03  ,-6.820697961947e-01  ,1.698018112461e-01  ,4.049478826816e-02  
  1.664001441956e-03  ,-7.133150178133e-01  ,1.730373769666e-01  ,4.174476726570e-02  
  1.714001441956e-03  ,-7.445226649726e-01  ,1.761021756871e-01  ,4.299433425924e-02  
  1.764001441956e-03  ,-7.756309796606e-01  ,1.789931828213e-01  ,4.424347691606e-02  
  1.814001441956e-03  ,-8.066050585627e-01  ,1.817075452941e-01  ,4.549218290762e-02  
  1.864001441956e-03  ,-8.373843722910e-01  ,1.842425843576e-01  ,4.674043990970e-02  
  1.914001441956e-03  ,-8.679180825971e-01  ,1.865957982341e-01  ,4.798823560251e-02  
  1.964001441956e-03  ,-8.981561772606e-01  ,1.887648645858e-01  ,4.923555767081e-02  
  2.014001441956e-03  ,-9.280495039919e-01  ,1.907476428060e-01  ,5.048239380403e-02  
  2.064001441956e-03  ,-9.575497966501e-01  ,1.925421761320e-01  ,5.172873169641e-02  
  2.114001441956e-03  ,-9.866097084541e-01  ,1.941466935761e-01  ,5.297455904709e-02  
  2.164001441956e-03  ,-1.015182837699e+00  ,1.955596116732e-01  ,5.421986356025e-02  
  2.214001441956e-03  ,-1.043223760085e+00  ,1.967795360438e-01  ,5.546463294526e-02  
  2.264001441956e-03  ,-1.070688053755e+00  ,1.978052627698e-01  ,5.670885491672e-02  
  2.314001441956e-03  ,-1.097532330548e+00  ,1.986357795827e-01  ,5.795251719469e-02  
  2.364001441956e-03  ,-1.123714260194e+00  ,1.992702668628e-01  ,5.919560750470e-02  
  2.414001441956e-03  ,-1.149192600322e+00  ,1.997080984477e-01  ,6.043811357797e-02  
  2.464001441956e-03  ,-1.173927219621e+00  ,1.999488422505e-01  ,6.168002315146e-02  
  2.514001441956e-03  ,-1.197879126451e+00  ,1.999922606861e-01  ,6.292132396802e-02  
  2.564001441956e-03  ,-1.221010490826e+00  ,1.998383109057e-01  ,6.416200377651e-02  
  2.614001441956e-03  ,-1.243284671444e+00  ,1.994871448393e-01  ,6.540205033193e-02  
  2.664001441956e-03  ,-1.264666236344e+00  ,1.989391090452e-01  ,6.664145139552e-02  
  2.714001441956e-03  ,-1.285120988228e+00  ,1.981947443688e-01  ,6.788019473489e-02  
  2.764001441956e-03  ,-1.304615983627e+00  ,1.972547854080e-01  ,6.911826812413e-02  
  2.814001441956e-03  ,-1.323119556384e+00  ,1.961201597889e-01  ,7.035565934398e-02  
  2.864001441956e-03  ,-1.340601335206e+00  ,1.947919872499e-01  ,7.159235618187e-02  
  2.914001441956e-03  ,-1.357032265167e+00  ,1.932715785370e-01  ,7.282834643211e-02  
  2.964001441956e-03  ,-1.372384623515e+00  ,1.915604341101e-01  ,7.406361789598e-02  
  3.014001441956e-03  ,-1.386632039100e+00  ,1.896602426621e-01  ,7.529815838183e-02  
  3.064001441956e-03  ,-1.399749506304e+00  ,1.875728794525e-01  ,7.653195570526e-02  
  3.114001441956e-03  ,-1.411713402287e+00  ,1.853004044569e-01  ,7.776499768919e-02  
  3.164001441956e-03  ,-1.422501498954e+00  ,1.828450603337e-01  ,7.899727216398e-02  
  3.214001441956e-03  ,-1.432092977899e+00  ,1.802092702110e-01  ,8.022876696759e-02  
  3.264001441956e-03  ,-1.440468440321e+00  ,1.773956352956e-01  ,8.145946994566e-02  
  3.314001441956e-03  ,-1.447609919593e+00  ,1.744069323054e-01  ,8.268936895164e-02  
  3.364001441956e-03  ,-1.453500889042e+00  ,1.712461107294e-01  ,8.391845184694e-02  
  3.414001441956e-03  ,-1.458126272054e+00  ,1.679162899169e-01  ,8.514670650100e-02  
  3.464001441956e-03  ,-1.461472447646e+00  ,1.644207559991e-01  ,8.637412079144e-02  
  3.514001441956e-03  ,-1.463527258613e+00  ,1.607629586458e-01  ,8.760068260418e-02  
  3.564001441956e-03  ,-1.464280012192e+00  ,1.569465076615e-01  ,8.882637983354e-02  
  3.614001441956e-03  ,-1.463721490605e+00  ,1.529751694225e-01  ,9.005120038240e-02  
  3.664001441956e-03  ,-1.461843945415e+00  ,1.488528631602e-01  ,9.127513216227e-02  
  3.714001441956e-03  ,-1.458641104772e+00  ,1.445836570932e-01  ,9.249816309343e-02  
  3.764001441956e-03  ,-1.454108170137e+00  ,1.401717644124e-01  ,9.372028110506e-02  
  3.814001441956e-03  ,-1.448241816176e+00  ,1.356215391233e-01  ,9.494147413536e-02  
  3.864001441956e-03  ,-1.441040187295e+00  ,1.309374717489e-01  ,9.616173013163e-02  
  3.914001441956e-03  ,-1.432502951858e+00  ,1.261241848981e-01  ,9.738103705045e-02  
  3.964001441956e-03  ,-1.422631380225e+00  ,1.211864287040e-01  ,9.859938285775e-02  
  4.014001441956e-03  ,-1.411428057621e+00  ,1.161290761358e-01  ,9.981675552895e-02  
  4.064001441956e-03  ,-1.398895985680e+00  ,1.109571181899e-01  ,1.010331430491e-01  
  4.114001441956e-03  ,-1.385041234038e+00  ,1.056756589643e-01  ,1.022485334129e-01  
  4.164001441956e-03  ,-1.369870639937e+00  ,1.002899106217e-01  ,1.034629146249e-01  
  4.214001441956e-03  ,-1.353392459863e+00  ,9.480518824549e-02  ,1.046762746997e-01  
  4.264001441956e-03  ,-1.335616350670e+00  ,8.922690459443e-02  ,1.058886016620e-01  
  4.314001441956e-03  ,-1.316553361698e+00  ,8.356056476103e-02  ,1.070998835465e-01  
  4.364001441956e-03  ,-1.296215913507e+00  ,7.781176073861e-02  ,1.083101083984e-01  
  4.414001441956e-03  ,-1.274617787476e+00  ,7.198616590266e-02  ,1.095192642733e-01  
  4.464001441956e-03  ,-1.251774102186e+00  ,6.608952941196e-02  ,1.107273392372e-01  
  4.514001441956e-03  ,-1.227701300530e+00  ,6.012767053482e-02  ,1.119343213670e-01  
  4.564001441956e-03  ,-1.202417107844e+00  ,5.410647290616e-02  ,1.131401987503e-01  
  4.614001441956e-03  ,-1.175940604821e+00  ,4.803187872109e-02  ,1.143449594854e-01  
  4.664001441956e-03  ,-1.148291981051e+00  ,4.190988287069e-02  ,1.155485916820e-01  
  4.714001441956e-03  ,-1.119492836894e+00  ,3.574652702574e-02  ,1.167510834606e-01  
  4.764001441956e-03  ,-1.089565853079e+00  ,2.954789367434e-02  ,1.179524229532e-01  
  4.814001441956e-03  ,-1.058534946944e+00  ,2.332010011924e-02  ,1.191525983030e-01  
  4.864001441956e-03  ,-1.026425187930e+00  ,1.706929244080e-02  ,1.203515976647e-01  
