  Time                 , V(Vout)              , V(Vn)                , V(Vp)                
  0.000000000000e+00  ,-9.467200031258e-03  ,0.000000000000e+00  ,0.000000000000e+00  
  5.000000000000e-07  ,-9.467172075186e-03  ,2.000000000000e-06  ,2.500000000000e-06  
  1.000000000000e-06  ,-9.467177728713e-03  ,4.000000000000e-06  ,5.000000000000e-06  
  2.000022888184e-06  ,-9.467227507376e-03  ,8.000091552734e-06  ,1.000011444092e-05  
  4.000068664551e-06  ,-9.467382754433e-03  ,1.600027465820e-05  ,2.000034332275e-05  
  8.000160217285e-06  ,-9.468020853975e-03  ,3.200064086914e-05  ,4.000080108643e-05  
  1.600034332275e-05  ,-9.470605214603e-03  ,6.400137329102e-05  ,8.000171661377e-05  
  3.200070953369e-05  ,-9.480970504291e-03  ,1.280028381348e-04  ,1.600035476685e-04  
  6.400144195557e-05  ,-9.522214747740e-03  ,2.560057678223e-04  ,3.200072097778e-04  
  1.140014419556e-04  ,-9.640224482361e-03  ,4.560057678223e-04  ,5.700072097778e-04  
  1.640014419556e-04  ,-9.821796042631e-03  ,6.560057678223e-04  ,8.200072097778e-04  
  2.140014419556e-04  ,-1.006482852672e-02  ,8.560057678223e-04  ,1.070007209778e-03  
  2.640014419556e-04  ,-1.036695303783e-02  ,1.056005767822e-03  ,1.320007209778e-03  
  3.140014419556e-04  ,-1.072642421161e-02  ,1.256005767822e-03  ,1.570007209778e-03  
  3.640014419556e-04  ,-1.114185069185e-02  ,1.456005767822e-03  ,1.820007209778e-03  
  4.140014419556e-04  ,-1.161091954707e-02  ,1.656005767822e-03  ,2.070007209778e-03  
  4.640014419556e-04  ,-1.213181414593e-02  ,1.856005767822e-03  ,2.320007209778e-03  
  5.140014419556e-04  ,-1.270276992547e-02  ,2.056005767822e-03  ,2.570007209778e-03  
  5.640014419556e-04  ,-1.332207293522e-02  ,2.256005767822e-03  ,2.820007209778e-03  
  6.140014419556e-04  ,-1.398805840025e-02  ,2.456005767822e-03  ,3.070007209778e-03  
  6.640014419556e-04  ,-1.469910934827e-02  ,2.656005767822e-03  ,3.320007209778e-03  
  7.140014419556e-04  ,-1.545365525782e-02  ,2.856005767822e-03  ,3.570007209778e-03  
  7.640014419556e-04  ,-1.625017075357e-02  ,3.056005767822e-03  ,3.820007209778e-03  
  8.140014419556e-04  ,-1.708717433172e-02  ,3.256005767822e-03  ,4.070007209778e-03  
  8.640014419556e-04  ,-1.796322713299e-02  ,3.456005767822e-03  ,4.320007209778e-03  
  9.140014419556e-04  ,-1.887693173365e-02  ,3.656005767822e-03  ,4.570007209778e-03  
  9.640014419556e-04  ,-1.982693098090e-02  ,3.856005767822e-03  ,4.820007209778e-03  
  1.014001441956e-03  ,-2.081190686119e-02  ,4.056005767822e-03  ,5.070007209778e-03  
  1.064001441956e-03  ,-2.183057939554e-02  ,4.256005767822e-03  ,5.320007209778e-03  
  1.114001441956e-03  ,-2.288170557274e-02  ,4.456005767822e-03  ,5.570007209778e-03  
  1.164001441956e-03  ,-2.396407829944e-02  ,4.656005767822e-03  ,5.820007209778e-03  
  1.214001441956e-03  ,-2.507652539857e-02  ,4.856005767822e-03  ,6.070007209778e-03  
