  Time                 , V(Vout)              , V(Vn)                , V(Vp)                
  0.000000000000e+00  ,-5.199160057529e-03  ,0.000000000000e+00  ,0.000000000000e+00  
  5.000000000000e-07  ,-5.199140354212e-03  ,2.000000000000e-06  ,2.500000000000e-06  
  1.000000000000e-06  ,-5.199145248821e-03  ,4.000000000000e-06  ,5.000000000000e-06  
  2.000022888184e-06  ,-5.199184198827e-03  ,8.000091552734e-06  ,1.000011444092e-05  
  4.000068664551e-06  ,-5.199305426505e-03  ,1.600027465820e-05  ,2.000034332275e-05  
  8.000160217285e-06  ,-5.199803393996e-03  ,3.200064086914e-05  ,4.000080108643e-05  
  1.600034332275e-05  ,-5.201819242356e-03  ,6.400137329102e-05  ,8.000171661377e-05  
  3.200070953369e-05  ,-5.209899582108e-03  ,1.280028381348e-04  ,1.600035476685e-04  
  6.400144195557e-05  ,-5.242019125787e-03  ,2.560057678223e-04  ,3.200072097778e-04  
  1.140014419556e-04  ,-5.333778642085e-03  ,4.560057678223e-04  ,5.700072097778e-04  
  1.640014419556e-04  ,-5.474720302645e-03  ,6.560057678223e-04  ,8.200072097778e-04  
  2.140014419556e-04  ,-5.663041344263e-03  ,8.560057678223e-04  ,1.070007209778e-03  
  2.640014419556e-04  ,-5.896995769436e-03  ,1.056005767822e-03  ,1.320007209778e-03  
  3.140014419556e-04  ,-6.174892559550e-03  ,1.256005767822e-03  ,1.570007209778e-03  
  3.640014419556e-04  ,-6.495093861290e-03  ,1.456005767822e-03  ,1.820007209778e-03  
  4.140014419556e-04  ,-6.855758899911e-03  ,1.656005767822e-03  ,2.070007209778e-03  
  4.640014419556e-04  ,-7.255536392758e-03  ,1.856005767822e-03  ,2.320007209778e-03  
  5.140014419556e-04  ,-7.693000249798e-03  ,2.056005767822e-03  ,2.570007209778e-03  
  5.640014419556e-04  ,-8.167079350213e-03  ,2.256005767822e-03  ,2.820007209778e-03  
  6.140014419556e-04  ,-8.676016185678e-03  ,2.456005767822e-03  ,3.070007209778e-03  
  6.640014419556e-04  ,-9.218459702122e-03  ,2.656005767822e-03  ,3.320007209778e-03  
  7.140014419556e-04  ,-9.793101584084e-03  ,2.856005767822e-03  ,3.570007209778e-03  
  7.640014419556e-04  ,-1.039867494375e-02  ,3.056005767822e-03  ,3.820007209778e-03  
  8.140014419556e-04  ,-1.103395303068e-02  ,3.256005767822e-03  ,4.070007209778e-03  
  8.640014419556e-04  ,-1.169774799625e-02  ,3.456005767822e-03  ,4.320007209778e-03  
  9.140014419556e-04  ,-1.238890968525e-02  ,3.656005767822e-03  ,4.570007209778e-03  
  9.640014419556e-04  ,-1.310632446845e-02  ,3.856005767822e-03  ,4.820007209778e-03  
  1.014001441956e-03  ,-1.384891412234e-02  ,4.056005767822e-03  ,5.070007209778e-03  
  1.064001441956e-03  ,-1.461563471592e-02  ,4.256005767822e-03  ,5.320007209778e-03  
  1.114001441956e-03  ,-1.540547556713e-02  ,4.456005767822e-03  ,5.570007209778e-03  
  1.164001441956e-03  ,-1.621745819434e-02  ,4.656005767822e-03  ,5.820007209778e-03  
  1.214001441956e-03  ,-1.705063534343e-02  ,4.856005767822e-03  ,6.070007209778e-03  
  1.264001441956e-03  ,-1.790408999308e-02  ,5.056005767822e-03  ,6.320007209778e-03  
  1.314001441956e-03  ,-1.877693444496e-02  ,5.256005767822e-03  ,6.570007209778e-03  
  1.364001441956e-03  ,-1.966830938875e-02  ,5.456005767822e-03  ,6.820007209778e-03  
  1.414001441956e-03  ,-2.057738304808e-02  ,5.656005767822e-03  ,7.070007209778e-03  
  1.464001441956e-03  ,-2.150335031097e-02  ,5.856005767822e-03  ,7.320007209778e-03  
  1.514001441956e-03  ,-2.244543191172e-02  ,6.056005767822e-03  ,7.570007209778e-03  
  1.564001441956e-03  ,-2.340287361893e-02  ,6.256005767822e-03  ,7.820007209778e-03  
  1.614001441956e-03  ,-2.437494547849e-02  ,6.456005767822e-03  ,8.070007209778e-03  
  1.664001441956e-03  ,-2.536094103789e-02  ,6.656005767822e-03  ,8.320007209778e-03  
  1.714001441956e-03  ,-2.636017663958e-02  ,6.856005767822e-03  ,8.570007209778e-03  
  1.764001441956e-03  ,-2.737199069531e-02  ,7.056005767822e-03  ,8.820007209778e-03  
  1.814001441956e-03  ,-2.839574301783e-02  ,7.256005767822e-03  ,9.070007209778e-03  
  1.864001441956e-03  ,-2.943081414202e-02  ,7.456005767822e-03  ,9.320007209778e-03  
  1.914001441956e-03  ,-3.047660469629e-02  ,7.656005767822e-03  ,9.570007209778e-03  
  1.964001441956e-03  ,-3.153253476464e-02  ,7.856005767822e-03  ,9.820007209778e-03  
